language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.04  T=9.92 s (115.8 files/s 117475.8 lines/s)"
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\zh-hant\System.Data.SqlClient.xml,0,0,8397
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\fr\System.Data.SqlClient.xml,0,0,7802
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\zh-hans\System.Data.SqlClient.xml,0,0,7620
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\de\System.Data.SqlClient.xml,0,0,7550
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\es\System.Data.SqlClient.xml,0,0,7527
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\ru\System.Data.SqlClient.xml,0,0,7424
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\it\System.Data.SqlClient.xml,0,0,7414
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\ref\netstandard1.3\System.Data.SqlClient.xml,0,0,7399
XML,..\..\dev\winforms\pie\packages\System.Drawing.Common.7.0.0\runtimes\win\lib\net6.0\System.Drawing.Common.xml,32,0,6550
XML,..\..\dev\winforms\pie\packages\Markdig.0.33.0\lib\netstandard2.1\Markdig.xml,1,0,6515
XML,..\..\dev\winforms\pie\packages\System.Drawing.Common.7.0.0\runtimes\win\lib\net7.0\System.Drawing.Common.xml,32,0,6485
XML,..\..\dev\winforms\pie\packages\System.Text.Json.9.0.0\lib\netstandard2.0\System.Text.Json.xml,196,0,5972
XML,..\..\dev\winforms\pie\packages\System.ComponentModel.Composition.7.0.0\lib\net6.0\System.ComponentModel.Composition.xml,29,0,5806
XML,..\..\dev\winforms\pie\packages\System.ComponentModel.Composition.7.0.0\lib\net7.0\System.ComponentModel.Composition.xml,29,0,5735
XML,..\..\dev\winforms\pie\packages\System.Collections.Immutable.7.0.0\lib\netstandard2.0\System.Collections.Immutable.xml,51,0,5565
XML,..\..\dev\winforms\pie\packages\System.Data.SqlClient.4.8.3\runtimes\win\lib\uap10.0.16299\System.Data.SqlClient.xml,26,0,4155
XML,..\..\dev\winforms\pie\packages\System.IO.Packaging.7.0.0\lib\netstandard2.0\System.IO.Packaging.xml,20,0,3058
XML,..\..\dev\winforms\pie\packages\System.IO.Packaging.7.0.0\lib\net6.0\System.IO.Packaging.xml,20,0,2949
XML,..\..\dev\winforms\pie\Forms\Other\AboutForm.resx,13,48,2916
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\runtimes\aot\lib\netcore50\System.Reflection.Emit.xml,7,0,2895
XML,..\..\dev\winforms\pie\packages\System.IO.Packaging.7.0.0\lib\net7.0\System.IO.Packaging.xml,20,0,2878
XML,..\..\dev\winforms\pie\packages\System.Speech.7.0.0\runtimes\win\lib\net6.0\System.Speech.xml,38,0,2814
XML,..\..\dev\winforms\pie\packages\System.Speech.7.0.0\runtimes\win\lib\net7.0\System.Speech.xml,38,0,2743
C#,..\..\dev\winforms\pie\Forms\MainForm.cs,570,123,2644
XML,..\..\dev\winforms\pie\packages\System.Numerics.Vectors.4.5.0\ref\netstandard2.0\System.Numerics.Vectors.xml,0,0,2621
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\ja\System.IO.xml,0,0,2264
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\ko\System.IO.xml,0,0,2262
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\zh-hant\System.IO.xml,0,0,2246
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\zh-hans\System.IO.xml,0,0,2237
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\fr\System.IO.xml,0,0,2201
XML,..\..\dev\winforms\pie\packages\System.Security.AccessControl.6.0.0\runtimes\win\lib\netstandard2.0\System.Security.AccessControl.xml,0,0,2185
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\System.IO.xml,0,0,2151
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\de\System.IO.xml,0,0,2151
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\it\System.IO.xml,0,0,2123
XML,..\..\dev\winforms\pie\Forms\MainForm.resx,11,48,2102
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\es\System.IO.xml,0,0,2090
XML,..\..\dev\winforms\pie\Forms\Theme\NewThemeForm.resx,11,48,2043
XML,..\..\dev\winforms\pie\packages\System.IO.4.3.0\ref\netstandard1.5\ru\System.IO.xml,0,0,2023
XML,..\..\dev\winforms\pie\packages\System.Text.Encodings.Web.9.0.0\runtimes\browser\lib\net9.0\System.Text.Encodings.Web.xml,1,0,1946
XML,..\..\dev\winforms\pie\packages\System.Diagnostics.DiagnosticSource.7.0.2\lib\netstandard2.0\System.Diagnostics.DiagnosticSource.xml,10,0,1713
XML,..\..\dev\winforms\pie\packages\K4os.Compression.LZ4.Streams.1.3.5\lib\netstandard2.1\K4os.Compression.LZ4.Streams.xml,1,0,1688
XML,..\..\dev\winforms\pie\packages\System.Configuration.ConfigurationManager.7.0.0\lib\netstandard2.0\System.Configuration.ConfigurationManager.xml,8,0,1662
XML,..\..\dev\winforms\pie\packages\System.Security.Cryptography.Cng.5.0.0\runtimes\win\lib\netcoreapp3.0\System.Security.Cryptography.Cng.xml,58,0,1647
XML,..\..\dev\winforms\pie\packages\CefSharp.WinForms.116.0.150\lib\net462\CefSharp.WinForms.XML,0,0,1639
XML,..\..\dev\winforms\pie\packages\K4os.Compression.LZ4.Streams.1.3.5\lib\netstandard2.0\K4os.Compression.LZ4.Streams.xml,1,0,1629
XML,..\..\dev\winforms\pie\packages\System.Security.Cryptography.Cng.5.0.0\lib\netstandard2.0\System.Security.Cryptography.Cng.xml,0,0,1627
XML,..\..\dev\winforms\pie\packages\ConEmu.Control.WinForms.1.21.9.5\lib\net40\ConEmu.WinForms.xml,9,0,1597
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\zh-hant\System.Reflection.Emit.xml,0,0,1549
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\ja\System.Reflection.Emit.xml,0,0,1530
XML,..\..\dev\winforms\pie\packages\System.Configuration.ConfigurationManager.7.0.0\lib\net6.0\System.Configuration.ConfigurationManager.xml,5,0,1528
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\ko\System.Reflection.Emit.xml,0,0,1526
XML,..\..\dev\winforms\pie\packages\System.DirectoryServices.7.0.0\runtimes\win\lib\net6.0\System.DirectoryServices.xml,2,0,1507
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\zh-hans\System.Reflection.Emit.xml,0,0,1503
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\fr\System.Reflection.Emit.xml,0,0,1496
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\System.Reflection.Emit.xml,0,0,1493
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\de\System.Reflection.Emit.xml,0,0,1493
XML,..\..\dev\winforms\pie\packages\System.Reflection.Emit.4.7.0\ref\netstandard1.1\es\System.Reflection.Emit.xml,0,0,1482
